,Title,author,rating,num_rating,num_reviews,pages,publish_year,url,series,awards,genre_1,genre_2,genre_3,places
388,The Poet,Michael Connelly,4.20,"84,863 ratings","3,043 reviews",,Published July 1st 2002 by Grand Central Publishing (first published January 28th 1996),,Jack McEvoy #1,"Anthony Award for Best Novel (1997), Hammett Prize Nominee (1996), Dilys Award (1997), Nero Award (1997), Marlowe for Best Crime Novel (International) (1997)",,,,
389,The Tender Bar: A Memoir,J.R. Moehringer,3.93,"31,286 ratings","2,755 reviews",,Published August 1st 2006 by Hyperion (first published 2005),,J.R. Moehringer,All Editions | Add a New Edition | Combine,,,,
390,Finger Lickin' Fifteen,Janet Evanovich,4.00,"81,091 ratings","4,221 reviews",308 pages,Published June 23rd 2009 by St. Martin's Press,,Stephanie Plum #15,Goodreads Choice Award Nominee for Mystery/Thriller (2009),,,,
391,Until I Find You,John Irving,3.64,"24,851 ratings","1,582 reviews",820 pages,Published May 30th 2006 by Ballantine Books (first published 2005),,Jack Burns,,,,,
392,Child 44,Tom Rob Smith,4.09,"77,662 ratings","6,412 reviews",,Published April 1st 2009 by Grand Central Publishing (first published March 3rd 2008),,Leo Demidov #1,"Booker Prize Nominee for Longlist (2008), Barry Award for Best First Novel (2009), Anthony Award Nominee for Best First Novel (2009), Dilys Award Nominee (2009), Galaxy British Book Awards for New Writer of the Year (2009) ...more",Fiction,Historical,Mystery,
393,Brick Lane,Monica Ali,3.42,"28,518 ratings","1,900 reviews",,Published June 2nd 2004 by Scribner (first published May 31st 2003),,Booker Prize Nominee (2003),,,,,
394,The Forest of Hands and Teeth,Carrie Ryan,3.59,"82,546 ratings","8,839 reviews",,Published July 2009 by Gollancz (first published March 10th 2009),,The Forest of Hands and Teeth #1,,Young Adult,Horror,Horror,
395,Drop City,T. Coraghessan Boyle,3.79,"13,199 ratings","1,012 reviews",,Published January 27th 2004 by Penguin Books (first published 2003),,,,,,,
396,The Goose Girl,Shannon Hale,4.10,"136,750 ratings","10,072 reviews",,Published May 1st 2005 by Bloomsbury Children's Books (first published August 4th 2003),,The Books of Bayern #1,,,,,
397,The Complete Calvin and Hobbes,Bill Watterson,4.81,"35,628 ratings","1,060 reviews",1456 pages,Published September 6th 2005 by Andrews McMeel Publishing,,http://www.andrewsmcmeel.com/books/detail?sku=9780740748479,,,,,
398,Anathem,Neal Stephenson,4.16,"64,062 ratings","4,938 reviews",937 pages,Published September 9th 2008 by William Morrow,,http://www.nealstephenson.com/anathem/,,,,,
399,The Birth of Venus,Sarah Dunant,3.80,"94,161 ratings","3,297 reviews",,Published November 30th 2004 by Random House (first published March 6th 2003),,Alessandra Cecci,,,,,
400,Fire,Kristin Cashore,4.10,"165,941 ratings","10,370 reviews",480 pages,Published October 5th 2009 by Dial Books,,http://kristincashore.blogspot.com/2008/02/my-books.html,,,,,
401,The City & the City,China Miéville,3.90,"56,854 ratings","5,875 reviews",,Published May 26th 2009 by Del Rey,,http://www.randomhouse.com/delrey/catalog/display.pperl?isbn=9780345497512,"Hugo Award for Best Novel (2010), Nebula Award Nominee for Best Novel (2009), Locus Award for Best Fantasy Novel (2010), Arthur C. Clarke Award (2010), World Fantasy Award for Best Novel (2010) ...more",Fantasy,Fiction,Science Fiction,
402,Magic Study,Maria V. Snyder,4.03,"74,172 ratings","4,839 reviews",,Published September 26th 2006 by Luna Books,,Poison Study #2,RITA Award by Romance Writers of America Nominee for Paranormal Romance (2007),,,,
403,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,Cassandra Clare,4.56,"65,266 ratings","1,118 reviews",,Published October 27th 2009 by Margaret K. McElderry Books,,The Mortal Instruments #1-3,,,,,
404,Darkfever,Karen Marie Moning,4.07,"161,395 ratings","10,571 reviews",,Published October 31st 2006 by Delacorte Press,,Fever #1,,,,,
405,Baudolino,Umberto Eco,3.75,"20,205 ratings","1,025 reviews",527 pages,"Published October 6th 2003 by Harcourt, Inc. (first published November 1st 2000)",,The Poet,,,,,
406,The Arctic Incident,Eoin Colfer,3.94,"144,351 ratings","3,360 reviews",,Published May 1st 2004 by Hyperion Books for Children (first published May 1st 2002),Artemis Fowl #2,Artemis Fowl II,,,,,
407,Quidditch Through the Ages,Kennilworthy Whisp,3.83,"153,201 ratings","5,488 reviews",,Published June 1st 2001 by Scholastic,,Hogwarts Library,,,,,
408,The Guardian,Nicholas Sparks,4.15,"162,732 ratings","5,124 reviews",,Published April 1st 2005 by Grand Central Publishing (first published 2003),,Julie Barenson,,,,,
409,The Eternity Code,Eoin Colfer,4.03,"128,194 ratings","2,457 reviews",,Published April 6th 2006 by Puffin (first published April 27th 2003),,Artemis Fowl #3,"Anthony Award Nominee for Best Young Adult Mystery (2004), British Book Award, Deutscher Bücherpreis for Kinder- und Jugendbuch (2004)",,,,
410,Austerlitz,W.G. Sebald,3.96,"16,160 ratings","1,340 reviews",415 pages,Published July 4th 2002 by Penguin Books Ltd (first published November 6th 2001),,,,Fiction,Historical,European Literature,
411,Five Quarters of the Orange,Joanne Harris,3.86,"32,282 ratings","2,466 reviews",,Published June 4th 2002 by Harper Perennial (first published 2001),,Framboise Dartigen,,,,,
412,Lirael,Garth Nix,4.26,"111,166 ratings","3,091 reviews",,Published December 30th 2015 by Eos (first published April 21st 2001),,Abhorsen #2,West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2003),,,,
413,The Human Stain,Philip Roth,3.89,"34,313 ratings","2,256 reviews",,Published April 5th 2001 by Vintage (first published May 2000),Complete Nathan Zuckerman #8,Coleman Silk,,,,,
414,Eventide,Kent Haruf,4.21,"19,904 ratings","1,909 reviews",,Published May 3rd 2005 by Vintage (first published May 4th 2004),,Plainsong #2,,,,,
415,Pattern Recognition,William Gibson,3.85,"46,288 ratings","2,218 reviews",,Published February 2005 by Berkley Books (first published February 3rd 2003),,http://williamgibsonbooks.com/books/pattern.asp,,,,,
416,Ptolemy's Gate,Jonathan Stroud,4.26,"80,089 ratings","2,197 reviews",501 pages,Published January 1st 2006 by Hyperion/Miramax (first published October 2005),,http://www.bartimaeusbooks.com/ptolemy.html,,,,,
417,Terrier,Tamora Pierce,4.11,"67,484 ratings","1,963 reviews",,Published October 24th 2006 by Random House,,http://www.tamora-pierce.com/about_beka.html,,,,,
418,Shanghai Girls,Lisa See,3.89,"143,594 ratings","9,757 reviews",,Published May 26th 2009 by Random House,,Shanghai Girls #1,"Goodreads Choice Award Nominee for Fiction (2009), Asian/Pacific American Award for Literature for Adult Fiction Honor (2009)",,,,
419,Blood Bound,Patricia Briggs,4.30,"113,310 ratings","4,079 reviews",,Published January 30th 2007 by Ace,,http://patriciabriggs.com/books/,,,,,
420,Blood Rites,Jim Butcher,4.29,"115,067 ratings","3,123 reviews",,Published August 3rd 2004 by Roc (first published August 1st 2004),,http://www.jim-butcher.com/,,,,,
421,Ironside,Holly Black,4.03,"36,717 ratings","1,353 reviews",,Published April 24th 2007 by Margaret K. McElderry Books,,Modern Faerie Tales #3,,,,,
422,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,3.82,"177,327 ratings","7,526 reviews",,"Published May 1st 2006 by Little, Brown Books for Young Readers (first published April 25th 2006)",,http://www.allycarter.com/,,,,,
423,The Gathering Storm,Robert Jordan,4.36,"131,269 ratings","3,486 reviews",783 pages,Published October 27th 2009 by Tor Books,,The Wheel of Time #12,,,,,
424,Along for the Ride,Sarah Dessen,4.06,"187,967 ratings","6,953 reviews",,Published June 16th 2009 by Viking Books for Young Readers,,Maggie Neely,,,,,
425,Playing for Pizza,John Grisham,3.46,"44,248 ratings","4,238 reviews",,Published September 4th 2007 by Doubleday Books (first published 2007),,Rick Dockery,,Fiction,Sports,Cultural,
426,,,,,,,,,,,,,,
427,This Lullaby,Sarah Dessen,4.02,"172,581 ratings","5,123 reviews",,Published March 8th 2004 by Speak (first published May 27th 2002),,Remy Starr,,,,,
428,The Lost: A Search for Six of Six Million,Daniel Mendelsohn,4.08,"5,432 ratings",681 reviews,,Published September 19th 2006 by Harper (first published 2006),,Prix Médicis Etranger (2007),,,,,
429,Something Blue,Emily Giffin,3.93,"204,550 ratings","7,199 reviews",,Published March 21st 2006 by Griffin (first published June 1st 2005),,Darcy & Rachel #2,,,,,
430,The Tea Rose,Jennifer Donnelly,4.19,"32,831 ratings","2,963 reviews",,Published May 2nd 2006 by Harper Collins Ltd (first published March 11th 2002),,The Tea Rose #1,,,,,
431,The Camel Club,David Baldacci,4.04,"81,993 ratings","2,879 reviews",,Published September 1st 2006 by Warner Vision (first published October 25th 2005),Camel Club #1,Adelphia,,Thriller,Fiction,Mystery,
432,Olivia,Ian Falconer,4.12,"60,860 ratings","1,751 reviews",,Published October 1st 2000 by Atheneum Books for Young Readers (first published January 1st 2000),,Olivia #1,All Editions | Add a New Edition | Combine,Childrens,Childrens,Fiction,
433,The Inheritance of Loss,Kiran Desai,3.44,"47,911 ratings","4,041 reviews",,Published 2005 by Grove Press,,Jemubhai Patel,,,,,
434,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,3.73,"67,881 ratings","3,525 reviews",272 pages,Published July 2nd 2004 by Scribner (first published July 20th 2003),,,,Nonfiction,Writing,Humor,
435,Arthur & George,Julian Barnes,3.71,"15,171 ratings","1,530 reviews",,Published January 9th 2007 by Vintage International (first published July 7th 2005),,http://www.randomhouse.com/kvpa/barnes/,All Editions | Add a New Edition | Combine,,,,
436,The Nanny Diaries,Emma McLaughlin,3.43,"365,264 ratings","5,354 reviews",,Published March 18th 2003 by St. Martins Press-3PL (first published March 13th 2002),,,,,,,
437,Succubus Blues,Richelle Mead,3.93,"53,652 ratings","3,013 reviews",,Published March 1st 2007 by Kensington (first published February 27th 2007),,Georgina Kincaid #1,,,,,
438,The March,E.L. Doctorow,3.74,"11,645 ratings","1,053 reviews",,Published September 12th 2006 by Random House Trade Paperbacks (first published January 2005),,http://www.randomhousebooks.com/books/41532/,"Pulitzer Prize Nominee for Fiction (2006), PEN/Faulkner Award for Fiction (2006), Michael Shaara Prize for Civil War Fiction (2006), Los Angeles Times Book Prize Nominee for Fiction (2005), National Book Critics Circle Award for Fiction (2005) ...more",,,,
439,Prep,Curtis Sittenfeld,3.40,"61,392 ratings","4,961 reviews",,Published November 22nd 2005 by Random House Trade Paperbacks (first published January 17th 2005),,Lee Fiora,,Fiction,Young Adult,Womens Fiction,
440,Trickster's Choice,Tamora Pierce,4.21,"64,549 ratings","1,459 reviews",448 pages,Published October 31st 2017 by Ember (first published September 23rd 2003),Daughter of the Lioness #1,,,,,,
441,The Virgin Blue,Tracy Chevalier,3.66,"29,787 ratings","1,848 reviews",,Published June 24th 2003 by Penguin Books (first published 1997),,,All Editions | Add a New Edition | Combine,,,,
442,Gathering Blue,Lois Lowry,3.81,"164,770 ratings","11,459 reviews",240 pages,Published September 25th 2000 by Delacorte Press (first published September 2000),,The Giver #2,,,,,
443,"Fables, Vol. 1: Legends in Exile",Bill Willingham,3.97,"130,250 ratings","3,445 reviews",128 pages,Published December 31st 2002 by Vertigo (first published 2002),,http://www.dccomics.com/vertigo/graphic_novels/?gn=1606,,,,,
444,Sold,Patricia McCormick,4.22,"51,098 ratings","6,094 reviews",,"Published September 15th 2006 by Little, Brown Books for Young Readers (first published September 1st 2006)",,,,,,,
445,Mistress of the Art of Death,Ariana Franklin,3.92,"35,462 ratings","3,021 reviews",,Published February 6th 2007 by G.P. Putnam's Sons,,http://mistressoftheartofdeath.com/,,,,,
446,The Book of Illusions,Paul Auster,3.85,"21,982 ratings","1,198 reviews",,Published July 13th 2003 by Picador Paper (first published 2002),,http://us.macmillan.com/thebookofillusions/PaulAuster,"Borders Original Voices Award for Fiction (2002), International Dublin Literary Award Nominee (2004)",,,,
447,Glass Houses,Rachel Caine,3.91,"95,796 ratings","4,908 reviews",,Published October 3rd 2006 by NAL Jam (first published 2006),,The Morganville Vampires #1,,,,,
448,City of Thieves,David Benioff,4.26,"121,464 ratings","11,518 reviews",,Published June 1st 2008 by Viking Books (first published 2008),,Lev Beniov,,,,,
449,The Pianist,Władysław Szpilman,4.23,"71,086 ratings","1,272 reviews",,Published December 31st 2002 by Phoenix (first published 1946),,Władysław Szpilman,,,,,
450,The Blind Side,Michael Lewis,4.16,"86,356 ratings","3,963 reviews",,Published September 17th 2007 by W. W. Norton & Company (first published September 17th 2006),,http://michaellewiswrites.com/index.html#the-blind-side,,Sports,Nonfiction,Biography,
451,Summer Knight,Jim Butcher,4.26,"131,710 ratings","4,379 reviews",,Published September 3rd 2002 by Roc,,The Dresden Files #4,,,,,
452,"Mayflower: A Story of Courage, Community, and War",Nathaniel Philbrick,3.85,"38,610 ratings","2,801 reviews",,Published May 9th 2006 by Viking (first published April 24th 2006),,Pulitzer Prize Nominee for History (2007),,,,,
453,The Given Day,Dennis Lehane,4.05,"23,792 ratings","2,757 reviews",,Published September 23rd 2008 by William Morrow,,Coughlin #1,,,,,
454,Lover Unbound,J.R. Ward,4.32,"122,129 ratings","4,956 reviews",,Published October 1st 2007 by Signet (first published September 25th 2007),,Black Dagger Brotherhood #5,"All About Romance (AAR) Annual Reader Poll for Most Tortured Hero & Honorable Mention for Guiltiest Pleasure Romance (2008), Romantic Times Reviewers' Choice Award (RT Award) for Vampire Romance (2007)",,,,
455,Labyrinth,Kate Mosse,3.59,"48,585 ratings","3,144 reviews",,Published February 6th 2007 by Berkley Books (first published 2005),,Languedoc #1,British Book Award for Best Read of the Year (2006),,,,
456,The Curse of Chalion,Lois McMaster Bujold,4.11,"36,508 ratings","2,318 reviews",,Published February 3rd 2003 by Voyager (first published August 2001),,World of the Five Gods (Publication) #1,All Editions | Add a New Edition | Combine,,,,
457,Clockwork Angel,Cassandra Clare,4.31,"688,113 ratings","32,421 reviews",481 pages,Published August 31st 2010 by Margaret K. McElderry Books,,The Infernal Devices #1,"RITA Award by Romance Writers of America Nominee for Young Adult Romance (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), The Inky Awards for Silver Inky (2011), Lincoln Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book and for Goodreads Author (2010) ...more",Fantasy,Young Adult,Fantasy,
458,Max,James Patterson,4.06,"68,796 ratings","2,302 reviews",,Published March 16th 2009 by jimmy patterson,,Maximum Ride #5,Carnegie Medal Nominee (2010),,,,
459,Dear John,Nicholas Sparks,4.03,"547,435 ratings","11,560 reviews",,Published October 30th 2006 by Warner Books (NY) (first published 2006),,Savannah Lynn Curtis,,,,,
460,Persuader,Lee Child,4.10,"71,135 ratings","2,901 reviews",,Published March 25th 2008 by Dell (first published April 1st 2003),,Jack Reacher #7,Gumshoe Award Nominee for Best Novel (2004),Thriller,Fiction,Mystery,
461,The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,4.14,"54,126 ratings","4,376 reviews",,Published October 10th 2006 by Anchor Books (first published 2005),,Theodore Roosevelt,,,,,
462,The Stupidest Angel: A Heartwarming Tale of Christmas Terror,Christopher Moore,3.82,"41,202 ratings","3,249 reviews",,Published October 28th 2008 by William Morrow (first published October 1st 2004),,http://www.chrismoore.com/stupidest_angel2.html,,,,,
463,The Magicians' Guild,Trudi Canavan,3.94,"75,100 ratings","2,691 reviews",,Published January 31st 2004 by Orbit (first published 2001),,The Black Magician Trilogy #1,,,,,
464,The Sugar Queen,Sarah Addison Allen,3.98,"49,757 ratings","5,645 reviews",,Published May 20th 2008 by Bantam,,Josey Cirrini,,,,,
465,A Northern Light,Jennifer Donnelly,3.82,"40,957 ratings","3,605 reviews",,Published September 1st 2004 by HMH Books for Young Readers (first published April 1st 2003),,Mattie Gokey,,,,,
466,Monstrous Regiment,Terry Pratchett,4.18,"64,759 ratings","1,904 reviews",,Published September 25th 2003,Discworld #31,Sam Vimes,,,,,
467,The Amateur Marriage,Anne Tyler,3.63,"15,386 ratings","1,356 reviews",,Published January 31st 2006 by Ballantine Books (first published January 6th 2004),,Orange Prize Nominee for Fiction Longlist (2004),,,,,
